Lesson,Japanese,English
45,あいます 1,encounter [an accidcnt]
45,しんじます 信じます,"believe, trust"
45,よういします 用意します,prepare
45,キャンセルします,cancel
45,うまくく いきます,go well
45,ほしょうしょ 保証書,guarantee
45,りょうしゅうしょ Are,receipt
45,おくりもの 贈り物,"gift, present (てを します: give a present)"
45,まちがいでんわ £626.82,wrong (telephone) number
45,キャンプ,camp
45,かかり 係,person in charge
45,ちゅうし Pak,"calling off, cancelling, suspension"
45,てん 点,"point, score"
45,レバー,lever
45,[-えん]さつ [- 円]札 [,"yen] note, bill"
45,ちゃんと,"regularly, properly"
45,きのうに Ble,suddenly
45,たのしみに して います 楽しみに して います,"be looking forward to, be expecting"
45,いじょうです。 以上です。 Thats,all.
45,係軸,"person in charge, attendant"
45,コース,course
45,スタート,start
45,位,th (ranking)
45,悩み,"trouble, worry"
45,目が 覚めます,wake up
45,大学生,university student
45,セットします 0,set
45,それでも,"nevertheless, for all that 119"
46,やきます 焼きます,"bake, grill, roast"
46,わたします 渡します,hand over
46,かえって きます WM 帰って REF,comeback
46,でます HH 出ます [,"a bus] leave, depart"
46,るす 留守,absence
46,たくはいびん 宅配便,delivery service
46,げんいん 原因,cause
46,ちゅうしゃ 注射,injection
46,しょくよく BR,appetite
46,パンフレット,pamphlet
46,~A ところ ての 所,the place around ~
46,ちょうど,just exactly
46,たったいま たった今,just now (used with the past tense; indicates
46,いま いいでしょうか。 今 いいでしょうか。 May,bother you now?
46,がスサービスセンター,gas service center
46,がガスレンジ,"pas range, gas cooker"
46,具合,condition
46,どち Hitec しょうか。 Who,"is this, pleasc?"
46,向かいます,head for
46,Be たせしました。 Sorry,to have kept you waiting.
46,知識,knowledge
46,手に 入ります[情報が一] [,"infonmafioml come in, reach"
46,ンステム,system
46,例えば,for example _
46,キーワード,key word ey
46,一部分,one part
46,入力します W,input 125
46,出 ます [本がー] [,a book] be published
47,あつまります 集まります [,people] gather
47,わかれます H 列れます [,"people] part, separate"
47,ながいきします 0 長生きします,livelong
47,[おと/こ Aad] [4/4*~] [,sound voice] be heard
47,[あじが一] [味が一],tasle
47,[においがー],smel]
47,さします Put,up [an umbrella]
47,[かさを一] [@,e~]
47,ひびどい,"terrible, severe"
47,こわい 怖い,"frightening, horrible"
47,7 てんきよほう 天気予報,weather forecast
47,はっぴょ3 発表,"announcement, prescnfation"
47,じっけん RR,experiment
47,じんこう3 AD,population
47,におい,smell
47,| いがく,"gy medicine, medical science"
47,| ぶんがく 文学,literature
47,パトカー,patrol car
47,きゅうきゅうしゃ RAB,ambulance
47,さんせい,"i024 approval, agreement"
47,"| はんたい BAY Objection,",opposition
47,| だんせい 男性,"male, man"
47,じょせい ATE,"female, woman"
47,どうも,it appears that (used when making a tentative
47,ーーに よると,according to ~ (indicates the source of
47,※バリト[島] Bali [,island] (in Indonesia)
47,※カリフォルニア California (,in U. S. A.)
47,婚約します,get engaged
47,相,the other person
47,知り合います,get acquainted
47,平均寿命,average life span
47,比べます[男性とー],compare [with men]
47,博士,doctor
47,ホルモン,hormone
47,化粧品,cosmetics
47,調べ,"survey, research"
48,おろします 1 降ろします、下るします,"put down, lower"
48,とどけます 届けます,"deliver, report"
48,せわを します 世話を します,take careof~
48,いや[な] 嫌[な],"unwilling, reluctant"
48,きびしい,"me Lvs strict, hard"
48,じゅく Ee,cram school
48,スケジュール,schedule
48,せいと 生徒,pupil
48,もの 者,person (referring to one’s relatives or
48,さいにゅうこくビザ 再入国ビザ,re-entry visa
48,じゆうに 自由に,freely
48,ーかん ー問,for ~ (referring to duration)
48,いい ことですねれ。 That',s good.
48,お忙しいですか。 Are,you busy? (used when talking to someone
48,久しぶり,after a long time
48,それまでに,by that time
48,かまいません。 It’,s all right./It doesn’t matter.
48,楽しみます 1,enjoy oneself
48,もともと,originally
48,せい,ad
48,ー世紀,th century
48,代わりを します,"be a substitute, be a replacement"
48,スピード,spccd
48,競走します,race
48,サーカス,circus
48,美しい,beautiful
48,次,"figure, appearance"
48,とらえます,catch
48,ンーに とって,for ~
49,つとめます 勤めます,work [for a company]
49,やすみます 1 体みます Eo,"to bed, sleep"
49,かけます 掛けます,sit on [a chair]
49,すごします 過ごします,"spend (time), pass (time)"
49,よります 寄ります,drop into [a bank]
49,いらっしゃいます,"be, go, come (respectful equivalent of います。,"
49,いきます,and きます)
49,めしあがります TI 召し上がリりリます,"eat, drink (respectful equivalent of たべます"
49,おっしゃいます,say (respectful cquivalent ofいいます)
49,なさいます,do (respectful equivalent of します)
49,ぐらんに なります T ご覧に なります,"see, look at (respectful equivalent of みます)"
49,あいさつ,"greeting, address (てを します : greet, give an"
49,はいざら Rm,ashtray
49,りょかん 旅館 Japanese,style hotel or inn
49,かいじょう,"ay meeting place, hall"
49,バスてい NAS,bus stop
49,ぼぽうえき 貿易,trade
49,かえりに 帰りに,on the way back
49,たまに,once in a while
49,ちっとも,not at all (used with negatives)
49,えんりょなく Bute ¢,"without reserve, without hesitation"
50,まいリます 1 参ります,"go, come (humble equivalent of いきます and"
50,おります 1,be (humble equivalent ofいます)
50,いただきます,"eat, drink, receive (humble equivalent of"
50,"たべます, のみます",and もらいます)
50,もうします 申します,say (bumble equivalentofいいます)
50,いたします,do (humble equivalent of します)
50,はいけんします 拝見します,see (humble equivalentofみます)
50,ぞんじます 存じます,know (humble equivalentof しります)
50,うかがいます 1 伺います,"ask, hear, visit (humble equiyalentof ききます"
50,おめに かかります 1 BAK かかります,meet(humble equivalent of あいます)
50,ございます,be (polite equivalent of あります)
50,ーで ございます,be (polite equivalent of ~ TT)
50,La わたくし 私 1 (,humble equivalent of わたし)
50,ガイド,guide
50,おたく お宅 (,someone clses) house
50,こうがい 郊外,suburbs
50,アルバム,album
50,ざさらいしゅう Skid,the week after next
50,さらいげつ X RA,the month after next
50,さらいれねん さ来年,the year after next
50,はんとし 半年,half a year
50,さいしょに 最初に,first of all
50,さいごに 最後に,lastly
50,ただいま ただな今,now
50,緊張します 皿,"become tense, be slrained"
50,放送します,broadcast
50,撮ります[ビデオに一] 1,"record [on video], video"
50,自然,nature
50,きりん,giraffe
50,ころ,"times, days"
50,かないます[夢が一] [,dream] be realized
50,ひとこと よろしいでしょうか。 May,say one word?
50,心から,from my heart
50,Ball します,"be grateful, be thankful"
50,美しい,beautiful
50,お元気で いらっしゃいますか。 How,are you doing? (respectful cquivalent of
50,生かします,make good use of
50,教具 Sincerely,yours
50,※ミュンペン Munich (,in Germany)
